variante,desconto,horizonte,seed,k,n,cens,nP,nA,pred_m,real_m,vies,rmse,corr,fprem,viesP,rmseP,maxabsP,fvies,frmse,fcorr
uni,0.90,12,6,3,799149,1264,18858,799465,0.123859,0.349795,-0.225936,0.282909,0.0421,0.0236,-0.015161,0.025625,0.52216556668281555,-0.015859,0.137788,0.3594
uni,0.90,12,6,4,798511,1580,13580,798827,0.122596,0.349791,-0.227195,0.283618,0.0514,0.0170,-0.013667,0.018963,0.25359804928302765,-0.081440,0.163819,0.3478
uni,0.90,12,6,5,797873,1896,10306,798189,0.122101,0.349792,-0.227691,0.284167,0.0452,0.0129,-0.012867,0.016297,0.13450361788272858,-0.054200,0.181494,0.1871
uni,0.90,12,6,6,797235,2212,8232,797551,0.121894,0.349771,-0.227876,0.284181,0.0500,0.0103,-0.011985,0.014545,0.067334368824958801,-0.091001,0.193589,0.2260
uni,0.90,12,6,7,796597,2528,6721,796913,0.121800,0.349760,-0.227960,0.284363,0.0456,0.0084,-0.011545,0.013718,0.049916848540306091,-0.065829,0.198677,0.1769
uni,0.90,12,6,8,795959,2844,5604,796275,0.121753,0.349749,-0.227995,0.284301,0.0490,0.0070,-0.011076,0.013055,0.046188488602638245,-0.093178,0.206762,0.2137
uni,0.90,12,6,9,795321,3160,4733,795637,0.121726,0.349745,-0.228019,0.284430,0.0449,0.0060,-0.010879,0.012742,0.043559983372688293,-0.073025,0.209936,0.1855
uni,0.90,12,6,10,794683,3476,4113,794999,0.121707,0.349740,-0.228033,0.284382,0.0473,0.0052,-0.010611,0.012393,0.041706889867782593,-0.095144,0.216653,0.2114
uni,0.90,12,6,11,794047,3791,3577,794362,0.121694,0.349722,-0.228028,0.284476,0.0426,0.0045,-0.010492,0.012242,0.040686741471290588,-0.078721,0.219376,0.1909
uni,0.90,12,7,0,773207,217,733800,0,0.268669,0.349718,-0.081049,0.141627,0.7185,0.9490,-0.088848,0.140333,1.5,-9.000000,-9.000000,-9.0000
uni,0.90,12,7,1,772686,434,42253,772903,0.134493,0.349689,-0.215196,0.275680,-0.0001,0.0547,-0.003607,0.049627,1.2220561504364014,0.089365,0.138432,0.7323
